request_time,request_url,response_code,response_size,last_update_local,last_update_remote,source_register
20200830 01:44:49 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 02:44:57 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 02:45:00 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 03:44:54 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 03:44:56 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 04:44:54 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 10:45:01 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 11:45:02 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 12:45:01 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 12:45:07 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 13:45:05 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 13:45:05 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 14:45:02 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 14:45:04 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 16:45:03 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 22:45:06 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 22:45:07 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
20200830 23:45:06 GMT,https://clinicaltrials.gov/ct2/download_studies?cond=COVID-19&lupd_s=08%2F26%2F2020,200,21,20200825,,ClinicalTrials.gov
20200830 23:45:08 GMT,https://www.who.int/ictrp/en/,200,73541,20200826,20200826,ICTRP
