substance_name,approval_countries
Calcium citrate,"ARE, ARG, AUS, AUT, BEL, BRA, BWA, CAN, CHL, CHN, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, EST, FRA, GBR, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NZL, PAK, PER, PHL, POL, PRI, ROM, SAU, SGP, SVN, SWE, THA, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB"
Buzepide metiodide,"ARG, BEL, DEU, EGY, ESP, FRA, HKG, ITA, KOR, LUX, MAR, NLD, PAK, TUN"
Duodenum siccum,"GBR, ITA"
Uncaria tomentosa herb water extract,
Mescaline,
Lascufloxacin,
Nicotinyl alcohol Hydrofluoride,"ARE, BLR, EGY, IND, JOR, LTU, SGP, ZAF"
Valeriana edulis,"AUS, MEX"
Myrtus communis oil,"CHE, ISR, LVA"
Oxalis corniculata leaf,
Glycine max fibre,"ARE, BRA, COL, HRV, LBN, PER, PHL, TWN, VEN"
Cicuta virosa,"BGR, DEU, FRA"
Drostanolone propionate,"DEU, FRA, GBR, ISR, JPN, LUX"
Pyruvic acid,"EST, LTU, LVA"
Khaya senegalensis root,
Etamsilate,"ARE, ARG, BEL, BFA, BGR, BLR, BRA, CHE, CHN, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FRA, GBR, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, PAK, PER, POL, ROM, RUS, SAU, SGP, SVK, SVN, THA, TUN, TWN, UGA, UKR, URY, VEN, YUG, ZMB"
Monopotassium oxoglurate,
Sym 013,
Fencamfamin hydrochloride,"BWA, GBR, IDN, NLD, ZAF"
Beclobrate,CHE
Vinylbital,"DEU, FIN, FRA, LUX, NLD"
Antithrombin Alfa,"AUT, DEU, GBR, PRI, SWE, USA"
Decloxizine hydrochloride,CHN
Azficel t,USA
Petrophile linearis,DEU
AZD 4121,
Fosnetupitant,
Aluminium chloride hexahydrate,"ARE, BGD, BWA, GBR, HKG, HUN, IRL, JOR, KOR, KWT, LBN, NZL, PAK, PHL, POL"
Ammonium chloride,"ARE, ARG, AUS, AUT, BEL, BFA, BGR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, ETH, FIN, FRA, GBR, GHA, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KEN, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NOR, NZL, OMN, PAK, PER, POL, PRT, ROM, RUS, SAU, SGP, SWE, THA, TUR, TWN, UGA, UKR, URY, USA, VEN, VNM, ZAF, ZMB, ZWE"
Scorpion venom antisera,
Hypericum perforatum herb liquid extract,
Clematis spp. root,"CHN, JPN, KOR, SGP, USA"
Ammi visnaga fruit,"EGY, LVA"
Procodazole,ESP
Polygala arvensis,
Wool fat,"ARE, ARG, AUS, BEL, BFA, BGR, BRA, BWA, CAN, CHE, CHL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FRA, GBR, GRC, HKG, HUN, IND, IRL, ISR, JOR, JPN, KOR, KWT, LTU, LUX, MEX, MYS, NLD, NOR, NZL, PER, PRI, PRT, RUS, SAU, SWE, THA, TWN, UKR, URY, USA, ZAF, ZWE"
Sinapis alba seed,"CHN, MYS, SGP"
Calaspargase pegol,
Policosanol,"ARG, AUS, CHN, COL, DEU, DOM, ECU, ESP, FRA, GBR, IDN, IND, ITA, LBN, LTU, LVA, MEX, MYS, NLD, NZL, PAK, PER, PHL, POL, PRI, SGP, SVK, TWN, USA, VEN, ZAF"
Escherichia coli metabolites,DEU
LMB 2,
Sulfamerazine sodium,
