substance_name,approval_countries
Uvaria brevistipitata,COD
Angelica dahurica var. formosana,
Astragalus mongholicus root,"ARE, AUS, CAN, CHN, DEU, GBR, HRV, JPN, KOR, LTU, MYS, NZL, SGP, TUR, USA, ZAF, ZMB"
Magnesium pyridoxal 5-phosphate glutamate,DEU
Elubrixin tosilate,
Hemidesmus indicus,IND
S-etodolac,
"Allergens, insect venom","AUS, BEL, CHE, DEU, DNK, GBR, LTU, NLD, NZL, POL, SWE"
Citrus x limon,"FRA, IND, LTU, POL"
Sambucus ebulus extract,LTU
Porcine kidney,USA
Spergularia rubra leaf,
Cleome gynandra leaf,
Oxazolam,"DEU, IDN, JPN, TWN"
Lyme disease vaccine rOspA (E. coli),"CAN, PRI, USA"
Thyroid,"BGR, BLR, BRA, CAN, CHL, CHN, CZE, DEU, DNK, ESP, EST, FIN, FRA, GBR, HKG, IND, IRL, ISR, ITA, JPN, KOR, LTU, LUX, NOR, NZL, PRI, ROM, RUS, SWE, THA, TWN, UKR, URY, USA, YUG, ZAF"
Pegvorhyaluronidase alfa,
Eucommia ulmoides leaf,CHN
Medroxalol hydrochloride,
Glyceryl monostearate,"CAN, CZE, DEU, ESP, FRA, GBR, IRL, PRI, USA, ZMB"
Tidiacic arginine,"FRA, ITA, KOR"
Bacillus lichenformis,"CHN, KOR, RUS"
Picrorhiza scrophulariiflora rhizome,CHN
Lavandula spp. flower,"DEU, EST, RUS"
Salmo salar oil,CHE
Urea-cresol-sulfonate sodium,"DEU, LTU, LUX"
Humulus lupulus dry methanol extract,CHE
Levomethadone,NOR
Ipomoea purga tuber,
AZD 0328,
Bevacizumab beta,
Operculina macrocarpa resin,ESP
Viscum album subsp. abietis,
Sodium citrate dihydrate,"ARE, ARG, AUS, BGD, BRA, BWA, CAN, CHL, COD, COL, CZE, DEU, EGY, FRA, GRC, HKG, IDN, IND, ITA, JPN, KOR, KWT, LTU, MEX, MYS, PER, PHL, POL, PRI, ROM, SAU, SGP, THA, TUR, UGA, URY, USA, ZAF, ZWE"
Arctium lappa root,"AUS, CAN, DEU, ESP, EST, GBR, KWT, LTU, LVA, MYS, NZL, POL, RUS, TUR, USA, ZAF"
Armeniaca vulgaris var. ansu seed,CHN
Rauvolfia vomitoria extract,DEU
Lathyrus sativus,
Cefprozil,"ARE, ARG, BGD, BGR, BRA, CAN, CHE, CHL, CHN, COL, CZE, DOM, ECU, EGY, ESP, EST, ETH, GRC, HKG, HRV, HUN, IDN, IND, ITA, JOR, KOR, KWT, LBN, LTU, LVA, MEX, MYS, PHL, POL, PRI, PRT, ROM, SAU, SGP, SVK, SVN, THA, TUR, USA, VEN, ZAF"
Linum usitatissimum seed,"AUS, CAN, CHE, CHL, CHN, COL, DEU, EGY, ESP, EST, FRA, IND, JOR, LBN, LTU, NZL, POL, RUS, UGA, USA, ZAF"
Gentiana acaulis,
Asphodelus aestivus,
Prunus domestica fruit,"CAN, EST, LTU, LVA, USA"
Camptotheca acuminata,
Crypthecodinium cohnii,USA
Hedera helix dry leaf,"ARE, ARG, AUS, CAN, ETH, KGZ, LBN, NZL, SAU, TUR, URY, VEN, ZAF"
Myroxylon balsamum var. pereirae balsam,"ARE, ARG, BFA, BRA, BWA, CAN, CHE, COD, COL, DEU, DOM, ESP, EST, FRA, GBR, HKG, HUN, IRL, ITA, MYS, NLD, PAK, PER, POL, PRI, PRT, SLV, TUN, TUR, TWN, USA, ZMB, ZWE"
Arketamine,
AZD 0284,
Mentha arvensis var. piperascens,
Streptomycin hydrochloride,
Cecropia strigosa,DEU
Picrorhiza scrophulariiflora,
Etomidoline,"JPN, MEX, PER"
Protamine sulfate,"ARE, ARG, AUS, BEL, BGR, BLR, BRA, CAN, CHN, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, IDN, IND, IRL, ITA, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, URY, USA, VEN, ZAF"
Malotilate,"CHN, JPN, KOR"
Paramethasone,
Meningococcal vaccine A/C,"ARG, CHN, COD, DEU, EGY, ESP, HKG, HUN, IND, JOR, LTU, LVA, MAR, PAK, PHL, POL, RUS, SGP, TUN, VEN"
Brassica cretica,"AUS, ECU, EST, USA"
Arctostaphylos spp.,DEU
Combretum micranthum dry ectract,CHE
Meningococcal vaccine A/C/Y/W polysacch,"AUS, AUT, BEL, BFA, BGD, BWA, CAN, CHE, CIV, DEU, EGY, FIN, FRA, GBR, HKG, HUN, IDN, IND, IRL, ISR, ITA, LBN, LUX, MAR, MYS, NOR, NZL, PHL, POL, PRI, PRT, SAU, SGP, THA, TUN, USA"
Valemetostat,
LTX 315,
Thonzylamine hydrochloride,"BWA, GBR, ITA, JPN, NOR, PRI, USA"
Acacia spp.,"IDN, JOR, THA, USA"
Barleria prionitis,IND
"Sulfosalicylic acid, strontium salt",ISR
Phenoxyisopropanol,NZL
Rubus spp.,"CAN, DEU, EST, GBR, LVA, SGP, TUR, USA"
Syzygium jambos,USA
Proctase,JPN
Suxamethonium chloride dihydrate,"CZE, JPN, NOR, SVK, ZWE"
7-keto-dehydroepiandrosterone,"USA, ZAF"
Amfomycin,SWE
Polideribotide,ITA
Phosphatidyl serine,"ARG, AUS, BRA, DEU, EST, FRA, GBR, IDN, ITA, KWT, LBN, LTU, LVA, MYS, NLD, NOR, NZL, PHL, PRI, ROM, SGP, USA, ZAF, ZMB"
Alatrofloxacin mesilate,"AUS, CAN, CHE, ECU, ESP, FIN, HUN, MAR, PRI, SWE, USA"
Cholera vaccine,"ARE, AUS, DEU, EGY, FIN, GBR, HKG, IDN, ITA, JPN, MAR, NZL, PRI, SGP, SWE, THA, TWN, USA"
Acexamate zinc,"CHN, ESP"
Guanethidine,YUG
Flupamesone,"DOM, ESP, LBN, THA"
Pinus virginiana oil,LTU
ARQ 751,
Bamifylline,
Cordyceps militaris,"BFA, USA"
Triticum aestivum fruit,"CHN, SGP, TWN"
Sonchus arvensis root,
Saponaria officinalis herb,
Sulfamoxole,"ARE, CHN, COL, DEU, DOM, ECU, EGY, ESP, FRA, GBR, IDN, IND, KOR, LTU, LVA, SWE, TUN, TWN"
Capsicum annuum fruit,"AUS, AUT, CAN, CHN, DEU, GBR, ISL, JOR, LBN, LTU, MYS, NZL, RUS, SAU, TUR, USA, ZAF"
Zingiber zerumbet rhizome,
Fenfluramine hydrochloride,"ARE, BEL, BLR, BRA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, FIN, FRA, GBR, IDN, IND, ISR, ITA, LTU, LVA, NLD, POL, SWE, THA, TUR, TWN, USA, ZAF"
Dihydrocodeine bitartrate,"AUS, AUT, BEL, BGD, BGR, BWA, CAN, CHE, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FRA, GBR, GRC, HKG, HUN, IRL, ISR, ITA, JPN, KOR, LBN, LUX, LVA, MYS, NOR, NZL, PER, POL, PRI, PRT, ROM, SAU, SGP, SVK, SVN, USA, ZAF"
Atractylodes lancea,"AUS, JPN, KOR, TWN"
Bazedoxifene acetate,"AUS, AUT, BEL, BGR, CAN, CHE, CHL, DEU, ESP, FIN, FRA, GBR, GRC, IRL, ITA, JPN, KOR, LUX, MEX, NLD, NOR, NZL, POL, PRT, SWE, TWN, USA"
Aloe schweinfurthii,GHA
Dibromsalan,JPN
Botulinum toxin type a,"ARE, ARG, AUS, AUT, BEL, BGR, BLR, BRA, CAN, CHE, CHL, CHN, COL, CZE, DEU, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IND, IRL, ITA, JPN, KGZ, KOR, KWT, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, ZAF"
Ferroglycinate chelate,"BRA, DOM, ECU, MYS, PER, URY, USA"
Norflurane,"DEU, GBR, MAR, PRI, USA"
Populus x candicans,
Droxidopa,"IRL, JPN, NOR, PRI, USA"
Clorazepate dipotassium,"ARE, ARG, AUT, BEL, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CIV, COD, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, IDN, IRL, ISR, ITA, JOR, JPN, KOR, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, PAK, PER, PHL, POL, PRI, PRT, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Vinflunine ditartrate,"ARG, AUT, BGR, BRA, CZE, DEU, DNK, EGY, ESP, EST, FIN, FRA, GBR, GRC, HUN, IRL, ITA, LBN, LTU, LVA, MEX, MLT, NLD, NOR, POL, PRT, ROM, RUS, SAU, SVK, SVN, SWE, TUR"
EPZ 5687,
Kaempferia galanga,"AUS, IDN, MYS, SGP"
Cefradine monohydrate,"COL, KOR, PHL"
Pineal gland,
Centaurium erythraea tincture,DEU
Zinc acetate,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, CAN, CHL, CHN, COL, CZE, DEU, EGY, ESP, EST, GBR, GRC, HUN, IDN, IND, IRL, ITA, JOR, JPN, KGZ, KWT, LBN, LTU, LUX, LVA, MEX, NLD, NOR, PER, POL, PRI, PRT, ROM, RUS, SVK, SWE, TWN, UKR, USA, VEN, ZAF, ZMB"
Meningococcal vaccine C polysacch,"ARG, COL, URY"
Yucca spp.,"MYS, TWN, USA"
Folate sodium,"AUT, CAN, CHE, DEU, DNK, FIN, GBR, LTU, LVA, PER, UKR, USA, ZAF"
Dapoxetine,"BGD, COD, EGY, ETH, IND, UGA, ZWE"
Rubidium iodide,"DEU, ITA, KOR, NLD, PER"
Bitolterol,
Meptazinol hydrochloride,"DEU, GBR, IRL"
Convolvulus arvensis leaf,USA
Phyllostachys glauca,
Talaporfin,
Immunoglobulin human normal,"ARE, ARG, AUS, AUT, BEL, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, YUG, ZAF"
Artemisia frigida root,
Tripelennamine hydrochloride,"ARG, AUT, BGR, BLR, CAN, CHN, DEU, ESP, FIN, GBR, HUN, IDN, ISR, ITA, JPN, KOR, LTU, LVA, NLD, POL, PRI, RUS, TUR, TWN, UKR, URY, USA"
Vincamine tartrate,FRA
Mipomersen,"FRA, PRI, USA"
Melilotus officinalis flowering top,ITA
Vilaprisan,
Mavrilimumab,
Gadofosveset trisodium,"GBR, POL, SVN, SWE, USA"
Melaleuca ericifolia oil,LTU
Theriak,ZAF
Chlormerodrin,
Etifelmin hydrochloride,DEU
Abiraterone,
Asarum insigne herb,
Dactylorhiza incarnata subsp. incarnata,
Squaric acid,
Betula spp. extract,"ARE, AUT, DEU, EST, FRA, LTU, LUX, LVA, POL"
Notopterygium forbesii root with rhizome,CHN
Azithromycin dihydrate,"ARE, ARM, AUT, BEL, BFA, BGD, BGR, BIH, BRA, BWA, CAN, CHL, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, ITA, JOR, KGZ, KWT, LBN, LTU, MEX, MYS, NOR, PAK, PER, PHL, PRI, RUS, SGP, SRB, SVK, SWE, THA, TUR, TWN, UGA, UKR, USA, ZAF, ZMB, ZWE"
Monascus purpureus,"ARE, AUS, BEL, BGR, BRA, CHL, CHN, DEU, EGY, ESP, EST, FRA, GBR, HRV, IDN, ITA, JOR, KWT, LTU, LVA, MYS, NOR, PER, PRI, SGP, TWN, USA, ZAF, ZMB"
Rimoprogin,"LTU, LVA, POL"
Sisymbrium officinale syrup,"FRA, MAR"
Repirinast,JPN
Paederia foetida herb with root,CHN
Ganirelix,
Ibandronate sodium,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZWE"
Cefonicid sodium,"CHN, ESP, ITA, USA"
Phenicarbazide,IRL
TNF antibodies,RUS
Mitopodozide,DEU
RG 7356,
Aftobetin hydrochloride,
Lachesis muta,"ARE, AUS, BGR, BRA, CHE, CHL, DEU, EST, FRA, IND, ITA, LBN, LTU, LUX, LVA, MEX, NLD, PRI, RUS, TUN, UKR, USA, ZAF"
Dichlorvos,USA
Alloclamide,
Ulmus minor bark,
Morinda citrifolia fruit,"ARE, HKG, HRV, ITA, USA"
Butylated hydroxytoluene,"ARG, ARM, BLR, LTU, LVA, RUS, UGA, ZAF"
Trigonella foenum-graecum powder,"KWT, MAR"
Schizonepeta tenuifolia,"AUS, JPN, SGP, USA"
Tagetes erecta root,
Echinacea angustifolia extract,"AUS, AUT, BEL, CHL, CHN, DEU, EGY, HKG, ISR, KOR, POL, RUS, UKR, USA"
Secale cereale,"CAN, FRA"
Rumex crispus,"AUS, BGR, CHE, CHL, DEU, FRA, IDN, MYS, PRI, ROM, RUS, USA"
Syzygium nervosum flower bud,CHN
Oxitropium bromide,"BEL, DEU, FIN, FRA, GBR, IRL, ITA, JPN, LUX, VEN"
Isoniazid,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KAZ, KGZ, KOR, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NGA, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, TZA, UGA, UKR, URY, USA, VNM, YUG, ZAF, ZMB, ZWE"
Cinchona pubescens,"ARG, AUT, BGR, CHE, CHL, DEU, ESP, EST, FRA, LTU, LUX, LVA, MEX, RUS, TUN, UKR, ZAF"
Salsola collina whole plant,
Dicentra canadensis,
Pueraria lobata,"AUS, CAN, USA"
Chromocarb,
Plantago lanceolata tincture,DEU
Alchemilla vulgaris extract,
Setaria italica fruit,CHN
Citrus aurantium peel extract,"AUT, LVA"
Rheum palmatum tincture,"CAN, DEU, THA"
Bombax ceiba flower,"CHE, CHN"
Aloe succotrina,"DEU, FRA, IND, LTU, LUX, LVA, VEN"
Quinine hydrochloride dihydrate,
Pinus massoniana,"AUS, LBN, SGP"
"Kaolin, light","AUS, BWA, EGY, GBR, IRL, MYS, SGP, THA, UGA"
Hordeum vulgare grass juice,DEU
Ricinus communis seed oil,"RUS, USA"
Diflorasone diacetate,"ARG, BGD, CHL, DEU, ESP, IND, JPN, KOR, MEX, PRI, SGP, SWE, THA, URY, USA"
Isavuconazonium sulfate,"ARG, AUS, CAN, CHE, CHL, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HUN, IRL, ITA, JOR, LVA, MEX, NLD, NOR, PRI, PRT, ROM, SGP, SVK, SVN, SWE, USA"
Symphytum officinale herb,DEU
Eulophia dabia,
Collagenase,"ARG, AUT, BEL, BGR, BLR, BRA, CAN, CHE, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, GRC, HKG, HUN, IND, IRL, ITA, LTU, LUX, LVA, MEX, MYS, NLD, PER, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Agathosma betulina oil,ZAF
Ipamorelin,
Iodine (131I) derlotuximab biotin,
Acacia catechu heartwood dry extract,"CHN, PRI, USA"
Insulin degludec,"ARE, AUS, AUT, BEL, BGD, BGR, BRA, CAN, CHE, CHL, COL, CZE, DEU, DNK, DOM, EGY, ESP, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LVA, MYS, NLD, NOR, NZL, PAK, PER, PHL, PRI, PRT, RUS, SAU, SVK, SVN, SWE, THA, TUR, TWN, UKR, USA, ZAF, ZWE"
Nonoxinol 9,"ARE, CIV, KWT, SWE, TUR, UGA"
Senna italica leaf,
Aluminium pectinate,ESP
Utibaprilat,
Norethisterone,"ARE, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DNK, DOM, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, ZAF, ZMB, ZWE"
Eupatorium purpureum,"CHE, RUS"
Citrus sinensis oil,
Pinus sylvestris bud,RUS
PF 06650808,
Pralidoxime iodide,"AUS, CHN, HKG, IND, JPN, NZL, TWN"
Remimazolam,
Dihydroartemisinin,"BEL, BFA, CHN, CIV, COD, DEU, ESP, FRA, GBR, GHA, GRC, IDN, IND, IRL, ITA, KOR, NGA, NLD, NOR, PAK, PRT, SLE, TZA, UGA, USA, VNM, ZMB"
Brassica rapa root,
Smilax ornata root,AUS
Immunoglobulin anti-clostridium botuli tox B,"CZE, EST, GBR, POL, RUS, SVK, TWN, USA"
Immunoglobulin antivenom naja nigricollis,
Allobarbital,"ARE, ARG, AUT, BEL, BGR, BRA, CAN, CZE, DEU, EGY, ESP, FIN, HUN, IDN, ITA, JOR, JPN, LBN, LTU, LVA, MEX, NLD, PAK, POL, SVK, SWE, TUR, USA"
Lisinopril,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GEO, GHA, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NGA, NLD, NOR, NZL, OMN, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUR, TWN, UGA, UKR, URY, USA, VEN, YUG, ZAF, ZMB, ZWE"
Aesculus hippocastanum,"ARE, ARG, AUS, AUT, BEL, BLR, BRA, CAN, CHE, CHL, CIV, COL, CZE, DEU, ECU, ESP, EST, FRA, HKG, IRN, ITA, KOR, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NZL, PER, POL, PRT, ROM, RUS, SAU, SGP, SVK, TUN, TUR, TWN, UKR, USA, VEN, ZAF"
Hyoscyamus spp. extract,CHE
AZD 2551,
Methylhomatropine,
Hexylcaine,
Rosa x alba,
Camptothecin,CHN
LY 3023414,
Riviciclib,
Pinellia ternata,"AUS, CHN, JPN, KOR, SGP, USA"
Berbamine hydrochloride,CHN
Cocobetaine,
Citrus paradisi seed,
Remoxipride hydrochloride,ITA
Rimiterol,
Tertomotide hydrochloride,KOR
Robinia pseudoacacia inner bark,
Populus balsamifera resin,
Artemisia argyi leaf,"CHN, JPN, KOR"
Mumps vaccine,"ARE, AUS, BEL, CAN, CUB, DEU, DNK, ESP, FIN, FRA, HRV, HUN, IND, JOR, KOR, LBN, MAR, MYS, NLD, PAK, PER, PHL, POL, SWE, TUN, TWN, USA, ZAF"
Maleic acid,CHE
Sibutramine hydrochloride monohydrate,"BGD, BRA, EST, HKG, HUN, LTU, LVA, MEX, MYS, NOR, PHL, RUS, SYR, URY"
Orciprenaline polistirex,
Loprazolam,
Bumadizone calcium,"DEU, ECU, EGY, FRA, IDN, KOR, LTU, LVA, MEX, TUN"
Thiamphenicol aminoacetate hydroxyphthalate,
Ulinastatin,"BFA, CHN, CIV, ETH, IND, JPN, KOR, UGA, UKR"
Hexobendine,"DEU, ESP"
Amomum spp. fruit,"AUT, CHE, CHN, KOR, USA"
Picea abies extract,DEU
PIM 447,
AZD 8529,
Lorediplon,
Gadoxetic acid,
Maralixibat,
Exisulind,
Insulin lispro,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF"
Pyrethrins,"ARE, ARG, AUS, CAN, CHL, COL, ECU, FRA, IND, ISR, KOR, LTU, LVA, MAR, PER, PRI, TUR, URY, USA, VEN"
Levobupivacaine hydrochloride,"ARE, AUS, BEL, BGD, BGR, BRA, CHE, CHN, CZE, DEU, ECU, EGY, ESP, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JPN, KOR, KWT, LBN, LTU, LVA, MYS, NLD, NOR, NZL, PER, PHL, PRT, ROM, RUS, SVK, SVN, SWE, TUR, TWN, URY, USA, ZAF"
Corylus spp.,"LTU, LVA"
WT 2725,
Lificiguat,
Methoxsalen,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DNK, DOM, EGY, ESP, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, URY, USA, ZAF"
Azimilide hydrochloride,
Taselisib,
Ceftibuten,"ARG, BGD, BGR, BLR, CHE, CHL, CHN, COL, CZE, DEU, DOM, ECU, ESP, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JPN, KOR, LBN, MEX, MYS, NLD, PHL, POL, PRI, PRT, ROM, RUS, SGP, SVK, SVN, SWE, THA, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Flumequine,"CIV, FRA, ITA, LBN, MAR, TUN"
Enzastaurin dihydrochloride,
Propiverine hydrochloride,"ARE, AUT, BEL, CAN, CHN, CZE, DEU, DOM, EGY, ESP, EST, FRA, GBR, GRC, HRV, IDN, IRL, ITA, JPN, KOR, LBN, LTU, LUX, LVA, PHL, PRT, ROM, SGP, SVK, SVN, THA, TUR, TWN, VEN, ZAF"
Terbinafine,"ARG, BFA, BLR, BRA, CHE, COD, COL, DOM, ECU, EGY, EST, FIN, FRA, GBR, HKG, HRV, IND, IRL, JPN, KOR, LVA, MAR, MEX, MYS, NLD, PER, POL, RUS, SGP, SVN, TUN, UGA, UKR, USA, ZAF"
Ensituximab,
Pilsicainide,
Nevirapine,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, DEU, DOM, ESP, EST, ETH, FIN, FRA, GBR, GHA, GRC, HKG, HUN, IDN, IND, IRL, ITA, JPN, KGZ, KOR, LBN, LTU, LUX, LVA, MEX, MYS, NGA, NLD, NOR, NZL, PER, POL, PRI, PRT, ROM, RUS, SAU, SGP, SLE, SVK, SWE, THA, TUR, TWN, TZA, UGA, UKR, URY, USA, ZAF, ZMB, ZWE"
Glucoamylase,"ARE, MYS, NOR, NZL, POL, SGP, USA, ZAF"
Electrolytes nos,"AUS, AUT, BEL, BGD, BGR, BRA, BWA, CAN, CHE, CHL, COD, COL, CZE, DEU, DNK, ESP, ETH, FIN, FRA, GBR, GRC, HRV, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LUX, NLD, NOR, PAK, PHL, PRT, SWE, THA, TUR, TWN, UGA, URY, USA, VEN, VNM, YUG, ZAF"
Strophanthus gratus extract,DEU
Asparagus spp.,"ARG, DEU, PAK"
Spiclomazine,
AZD 8330,
Plukenetia volubilis,
Colestyramine,"ARE, ARG, AUS, BEL, BRA, CAN, CHE, CHL, CIV, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PER, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, YUG, ZAF"
Rabdosia rubescens herb,CHN
Saccharated iron oxide,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NOR, NZL, OMN, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, YUG, ZAF, ZMB, ZWE"
Grindelia robusta extract,"DEU, EGY, FRA, KWT, LTU, POL"
Spebrutinib besilate,
Trastuzumab duocarmazine,
Cymbopogon spp. essential oil,"ARG, AUS, IRN, LVA, USA, ZAF"
Mofebutazone sodium,"AUT, CHE, DEU"
Prunus domestica bark,
Zinc succinate,"AUS, CAN"
Galantamine hydrobromide,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, CAN, CHE, CHL, CHN, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Sumatriptan sulfate,NLD
Lenvatinib,"ARG, KOR"
Terminalia bellirica fruit,"AUS, CAN, CHE, CHN, MYS, USA"
Pyrus bretschneideri fruit,CHN
Panax spp.,ZAF
Protein s,"ARE, ARG, AUT, BEL, BGR, BRA, CAN, CHE, COL, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HUN, IDN, IRL, ITA, JPN, KGZ, LBN, LTU, LVA, MEX, MYS, NLD, NOR, POL, PRT, RUS, SAU, SGP, SVK, SVN, SWE, TUN, USA"
Persicaria punctata,BRA
Hydrastis canadensis tincture,"CHL, FRA, LUX"
CBL 0137,
