itemid1,itemid2,sml
CTRI/2020/05/025093,CTRI/2020/05/025088,0.7953488
NCT04380688,NCT04346199,0.8684211
NCT04382950,NCT04287686,0.72392637
NCT04382950,NCT04375046,0.81388015
NCT04292899,NCT04292730,0.6818182
IRCT20180610040049N4,IRCT20180610040049N3,0.83168316
IRCT20200421047150N1,IRCT20140528017891N8,0.8082192
NCT04348071,NCT04340232,0.8547297
NCT04381052,NCT04343989,0.9118541
NCT04381052,NCT04363502,0.84411764
IRCT20081019001369N4,IRCT20081019001369N3,0.88709676
IRCT20081019001369N4,IRCT20081019001369N2,0.8888889
IRCT20200217046526N2,IRCT20200217046526N1,0.8309859
NCT04382651,NCT04382053,0.60053617
NCT04382755,NCT04330638,0.72890025
IRCT20200404046933N1,IRCT20081019001369N3,0.62068963
IRCT20200404046933N1,IRCT20081019001369N4,0.62882096
IRCT20200404046933N1,IRCT20081019001369N2,0.6255319
ChiCTR2000029605,ChiCTR2000029434,0.68441063
NCT04341870,NCT04324073,0.6712329
IRCT20200404046937N2,IRCT20200404046937N1,0.92075473
NCT04375046,NCT04287686,0.8804348
CTRI/2020/05/025166,CTRI/2020/05/025088,0.8761905
CTRI/2020/05/025166,CTRI/2020/05/025093,0.7953488
NCT04383574,NCT04352608,0.7284768
IRCT20081019001369N5,IRCT20081019001369N3,0.73913044
IRCT20081019001369N5,IRCT20081019001369N4,0.7330097
IRCT20081019001369N5,IRCT20081019001369N2,0.7183099
IRCT20200401046909N2,IRCT20200401046909N1,0.7659575
NCT04348370,NCT04328441,0.65891474
PACTR202004893013257,NCT04386070,0.6440678
NCT04324606,EUCTR2020-001072-15-GB,0.73839664
NCT04400838,EUCTR2020-001228-32-GB,0.72444445
NCT04400838,NCT04324606,0.647191
DRKS00021706,DRKS00021527,0.6666667
IRCT20080901001165N53,IRCT20080901001165N51,0.8557214
IRCT20080901001165N53,IRCT20080901001165N50,0.84653467
IRCT20080901001165N53,IRCT20080901001165N48,0.6407767
IRCT20080901001165N53,IRCT20080901001165N49,0.69124424
IRCT20200413047053N1,IRCT20200404046933N1,0.7387387
IRCT20080901001165N49,IRCT20080901001165N48,0.7015707
IRCT20200318046812N1,IRCT20150808023559N20,0.6
CTRI/2020/04/024949,CTRI/2020/04/024948,0.75233644
EUCTR2020-001614-38-BE,EUCTR2020-001243-15-BE,0.6642512
NCT04364009,EUCTR2020-001734-36-FR,0.6520468
NCT04362137,EUCTR2020-001662-11-DE,0.6179775
EUCTR2020-001366-11-IE,EUCTR2020-001366-11-ES,0.8582996
NCT04382846,NCT04351347,0.6197183
NCT04382846,NCT04353336,0.62857145
NCT04335084,NCT04334512,0.605948
NCT04313127,ChiCTR2000031781,0.68874174
NCT04390412,IRCT20200509047366N1,0.6118421
NCT04310865,NCT04278963,0.6280702
NCT04382391,NCT04368156,0.6765677
ChiCTR2000033133,ChiCTR2000029776,0.8206278
ChiCTR2000033133,ChiCTR2000029434,0.60700387
ChiCTR2000033133,ChiCTR2000029605,0.7948718
NCT04397757,NCT04388527,0.70642203
NCT04393246,NCT04390464,0.61604583
EUCTR2020-001888-90-DK,EUCTR2020-000919-69-NL,0.627451
NCT04403555,NCT04351347,0.6617647
NCT04403555,NCT04351295,0.6567164
NCT04403555,NCT04353336,0.6969697
NCT04403555,NCT04382846,0.6571429
NCT04376684,EUCTR2020-001759-42-GB,0.6244898
NCT04391140,NCT04358939,0.6863905
NCT04327505,DRKS00021626,0.640625
NCT04341389,ChiCTR2000031781,0.7733813
NCT04341389,NCT04313127,0.75601375
NCT04396067,NCT04353180,0.65637064
NCT04396067,NCT04389580,0.6115108
NCT04363502,NCT04343989,0.8715596
NCT04335305,EUCTR2020-001160-28-ES,0.71564883
NCT04402866,EUCTR2020-001807-18-GB,0.653144
NCT04401150,NCT03680274,0.6122449
